year,month,day,log_consumption,inflation,scaled_leisure_pct,log_rdi,log_nonconsumption,ffr,cci,log_consumption_1,inflation_1,scaled_leisure_pct_1,log_rdi_1,log_nonconsumption_1,ffr_1,cci_1,log_consumption_2,inflation_2,scaled_leisure_pct_2,log_rdi_2,log_nonconsumption_2,ffr_2,cci_2,log_consumption_3,inflation_3,scaled_leisure_pct_3,log_rdi_3,log_nonconsumption_3,ffr_3,cci_3
1996,1,1,6.8795633,.0062694303,.65537965,10.37772,10.45238,.013076944,5.4938021,,,,,,,,,,,,,,,,,,,,,
1996,4,1,6.8829575,.0086407587,.65442717,10.367991,10.449071,.012768317,5.5270452,6.8795633,.0062694303,.65537965,10.37772,10.45238,.013076944,5.4938021,,,,,,,,,,,,,,
1996,7,1,6.8716245,.0053081051,.65473777,10.391234,10.472199,.012934549,5.5160866,6.8829575,.0086407587,.65442717,10.367991,10.449071,.012768317,5.5270452,6.8795633,.0062694303,.65537965,10.37772,10.45238,.013076944,5.4938021,,,,,,,
1996,10,1,6.9227452,.0084263505,.65588593,10.385725,10.469522,.012863321,5.5038261,6.8716245,.0053081051,.65473777,10.391234,10.472199,.012934549,5.5160866,6.8829575,.0086407587,.65442717,10.367991,10.449071,.012768317,5.5270452,6.8795633,.0062694303,.65537965,10.37772,10.45238,.013076944,5.4938021
1997,1,1,6.8909068,.0055679944,.65524769,10.403872,10.49294,.012863321,5.4790125,6.9227452,.0084263505,.65588593,10.385725,10.469522,.012863321,5.5038261,6.8716245,.0053081051,.65473777,10.391234,10.472199,.012934549,5.5160866,6.8829575,.0086407587,.65442717,10.367991,10.449071,.012768317,5.5270452
1997,4,1,6.9513073,.0041678003,.65343702,10.425386,10.504886,.013432581,5.5019517,6.8909068,.0055679944,.65524769,10.403872,10.49294,.012863321,5.4790125,6.9227452,.0084263505,.65588593,10.385725,10.469522,.012863321,5.5038261,6.8716245,.0053081051,.65473777,10.391234,10.472199,.012934549,5.5160866
1997,7,1,6.9570746,.0039955322,.64936852,10.47951,10.551175,.013456272,5.4782195,6.9513073,.0041678003,.65343702,10.425386,10.504886,.013432581,5.5019517,6.8909068,.0055679944,.65524769,10.403872,10.49294,.012863321,5.4790125,6.9227452,.0084263505,.65588593,10.385725,10.469522,.012863321,5.5038261
1997,10,1,6.9906502,.0043428871,.64548075,10.469801,10.54762,.013408888,5.4933085,6.9570746,.0039955322,.64936852,10.47951,10.551175,.013456272,5.4782195,6.9513073,.0041678003,.65343702,10.425386,10.504886,.013432581,5.5019517,6.8909068,.0055679944,.65524769,10.403872,10.49294,.012863321,5.4790125
1998,1,1,6.9384532,.0010158622,.64505887,10.51789,10.598552,.013432581,5.4343333,6.9906502,.0043428871,.64548075,10.469801,10.54762,.013408888,5.4933085,6.9570746,.0039955322,.64936852,10.47951,10.551175,.013456272,5.4782195,6.9513073,.0041678003,.65343702,10.425386,10.504886,.013432581,5.5019517
1998,4,1,6.9884391,.0031558494,.64895916,10.505448,10.575344,.013385192,5.4332414,6.9384532,.0010158622,.64505887,10.51789,10.598552,.013432581,5.4343333,6.9906502,.0043428871,.64548075,10.469801,10.54762,.013408888,5.4933085,6.9570746,.0039955322,.64936852,10.47951,10.551175,.013456272,5.4782195
1998,7,1,6.9447513,.0046167923,.65107071,10.514237,10.588978,.013456272,5.3689156,6.9884391,.0031558494,.64895916,10.505448,10.575344,.013385192,5.4332414,6.9384532,.0010158622,.64505887,10.51789,10.598552,.013432581,5.4343333,6.9906502,.0043428871,.64548075,10.469801,10.54762,.013408888,5.4933085
1998,10,1,6.9257984,.004135272,.65045094,10.526094,10.604277,.011863986,5.314683,6.9447513,.0046167923,.65107071,10.514237,10.588978,.013456272,5.3689156,6.9884391,.0031558494,.64895916,10.505448,10.575344,.013385192,5.4332414,6.9384532,.0010158622,.64505887,10.51789,10.598552,.013432581,5.4343333
1999,1,1,6.9468989,.0043856157,.65713793,10.57956,10.664655,.011553856,5.2534246,6.9257984,.004135272,.65045094,10.526094,10.604277,.011863986,5.314683,6.9447513,.0046167923,.65107071,10.514237,10.588978,.013456272,5.3689156,6.9884391,.0031558494,.64895916,10.505448,10.575344,.013385192,5.4332414
1999,4,1,6.9789767,.0069250334,.6613574,10.528752,10.612604,.011601593,5.2566094,6.9468989,.0043856157,.65713793,10.57956,10.664655,.011553856,5.2534246,6.9257984,.004135272,.65045094,10.526094,10.604277,.011863986,5.314683,6.9447513,.0046167923,.65107071,10.514237,10.588978,.013456272,5.3689156
1999,7,1,6.952528,.0067316894,.66420269,10.503263,10.588908,.012435523,5.2550964,6.9789767,.0069250334,.6613574,10.528752,10.612604,.011601593,5.2566094,6.9468989,.0043856157,.65713793,10.57956,10.664655,.011553856,5.2534246,6.9257984,.004135272,.65045094,10.526094,10.604277,.011863986,5.314683
1999,10,1,6.9849238,.0078416364,.66244435,10.483876,10.55538,.012910808,5.3239365,6.952528,.0067316894,.66420269,10.503263,10.588908,.012435523,5.2550964,6.9789767,.0069250334,.6613574,10.528752,10.612604,.011601593,5.2566094,6.9468989,.0043856157,.65713793,10.57956,10.664655,.011553856,5.2534246
2000,1,1,6.9637847,.010089468,.66173697,10.484643,10.562558,.013811368,5.3236928,6.9849238,.0078416364,.66244435,10.483876,10.55538,.012910808,5.3239365,6.952528,.0067316894,.66420269,10.503263,10.588908,.012435523,5.2550964,6.9789767,.0069250334,.6613574,10.528752,10.612604,.011601593,5.2566094
2000,4,1,6.9994912,.0056966101,.66326523,10.497748,10.574687,.01520321,5.3677034,6.9637847,.010089468,.66173697,10.484643,10.562558,.013811368,5.3236928,6.9849238,.0078416364,.66244435,10.483876,10.55538,.012910808,5.3239365,6.952528,.0067316894,.66420269,10.503263,10.588908,.012435523,5.2550964
2000,7,1,7.0027566,.0080967294,.66645694,10.503076,10.575474,.015790643,5.4113336,6.9994912,.0056966101,.66326523,10.497748,10.574687,.01520321,5.3677034,6.9637847,.010089468,.66173697,10.484643,10.562558,.013811368,5.3236928,6.9849238,.0078416364,.66244435,10.483876,10.55538,.012910808,5.3239365
2000,10,1,6.99476,.0067874589,.66544425,10.536357,10.612679,.015673267,5.4230542,7.0027566,.0080967294,.66645694,10.503076,10.575474,.015790643,5.4113336,6.9994912,.0056966101,.66326523,10.497748,10.574687,.01520321,5.3677034,6.9637847,.010089468,.66173697,10.484643,10.562558,.013811368,5.3236928
2001,1,1,7.0242715,.0083019873,.66783714,10.584192,10.653313,.013622046,5.4285998,6.99476,.0067874589,.66544425,10.536357,10.612679,.015673267,5.4230542,7.0027566,.0080967294,.66645694,10.503076,10.575474,.015790643,5.4113336,6.9994912,.0056966101,.66326523,10.497748,10.574687,.01520321,5.3677034
2001,4,1,6.9840746,.0066197864,.66663033,10.564559,10.628006,.010597192,5.3483448,7.0242715,.0083019873,.66783714,10.584192,10.653313,.013622046,5.4285998,6.99476,.0067874589,.66544425,10.536357,10.612679,.015673267,5.4230542,7.0027566,.0080967294,.66645694,10.503076,10.575474,.015790643,5.4113336
2001,7,1,7.0150795,.0019044611,.67085266,10.565258,10.629201,.008600357,5.325738,6.9840746,.0066197864,.66663033,10.564559,10.628006,.010597192,5.3483448,7.0242715,.0083019873,.66783714,10.584192,10.653313,.013622046,5.4285998,6.99476,.0067874589,.66544425,10.536357,10.612679,.015673267,5.4230542
2001,10,1,7.0297389,.0015207881,.66827673,10.636096,10.699141,.0052690818,5.2495999,7.0150795,.0019044611,.67085266,10.565258,10.629201,.008600357,5.325738,6.9840746,.0066197864,.66663033,10.564559,10.628006,.010597192,5.3483448,7.0242715,.0083019873,.66783714,10.584192,10.653313,.013622046,5.4285998
